type,layer,text,x,y,rotation,height
TEXT,0,PCO,803303.0293669275,89967.61563956135,0.0,390.5237411929783
TEXT,0,AS16,799616.0354055092,87258.71027738138,0.0,390.5237411929783
TEXT,0,AS15,809685.5563700487,87182.15661391479,0.0,390.5237411929783
TEXT,0,AS12,775890.1043984672,90584.91232312396,0.0,390.5237411929783
TEXT,0,WDO,750480.3728817906,88347.18655600582,0.0,390.5237411929783
TEXT,0,AS10,747418.9696795971,88482.13278309838,0.0,390.5237411929783
TEXT,0,AS9,759171.0661171529,88559.54629317852,0.0,390.5237411929783
TEXT,0,PROCESS TANK ZONE,736056.4650787998,81010.58104411437,90.0,375.0
TEXT,0,AS07,739390.9932276323,89659.6558083797,0.0,390.5237411929783
TEXT,0,AS05,739390.9932276323,87219.6558083797,0.0,390.5237411929783
TEXT,0,AS03,739390.9932276323,84779.6558083797,0.0,390.5237411929783
TEXT,0,AS01,739425.2898043517,82396.58202390262,0.0,390.5237411929783
TEXT,0,DRIVE UNIT,747974.6225220556,84412.78239087129,0.0,390.5237411929783
TEXT,0,AS13,765607.9846874096,90516.66663534596,0.0,390.5237411929783
TEXT,0,AS11,775205.3248919398,87450.76356477023,0.0,390.5237411929783
TEXT,0,AS20,751317.7424586394,77940.01418961165,0.0,390.5237411929783
TEXT,0,TENSION UNIT,745543.4223007245,85874.75057014555,0.0,390.5237411929783
TEXT,0,(GRAVITY TYPE),745479.9106523122,85166.64335478086,0.0,390.5237411929783
TEXT,0,AS18,775938.1541640111,80324.88037492955,0.0,390.5237411929783
TEXT,p7,SUPPORT LAYOUT,731771.7778394708,97615.98614215074,0.0,750.0
MTEXT,0,3573,737222.1042889156,92583.80665831875,0.0,
MTEXT,0,4034,739137.133915583,92921.88680664846,0.0,
MTEXT,0,3573,743762.6750794046,84300.66232443484,0.0,
MTEXT,0,4034,743918.6804901313,86536.4508620149,0.0,
MTEXT,0,3573,746839.3797234038,88102.18633578205,0.0,
MTEXT,0,4034,748862.8345996102,88478.7407322696,0.0,
MTEXT,0,3573,761402.1677569789,87414.1113264605,0.0,
MTEXT,0,4034,762619.5213948674,88631.21853377903,0.0,
MTEXT,0,3573,778024.4752448868,88479.33456279174,0.0,
MTEXT,0,3573,767609.9276976527,93673.40141251044,0.0,
MTEXT,0,4034,769545.0239961647,94009.96862510363,0.0,
MTEXT,0,3573,776403.315005837,83963.66598948592,0.0,
MTEXT,0,4034,776345.1696178301,81909.71207344734,0.0,
MTEXT,0,3573,750928.1496170239,79774.06743589678,0.0,
MTEXT,0,4034,750935.308459129,82042.73987725697,0.0,
MTEXT,0,MAINTENENCE TRACK FOR TROLLEY,795388.6569639504,93006.16182503945,0.0,
MTEXT,0,CONTROL PANNEL,754787.6216829207,83566.09572956653,0.0,
MTEXT,0,3573,795906.9524377201,90057.17980230029,0.0,
MTEXT,0,4034,795819.5334658938,88082.94657443113,0.0,
MTEXT,0,3573,802625.8563984099,87358.00276560686,0.0,
MTEXT,0,4034,800604.2543814182,87668.91337372106,0.0,
TEXT,0,AS14,795425.7978464509,91763.70480855343,0.0,390.5237411929783
TEXT,0,AS17,780140.3084980773,86340.593171741,0.0,390.5237411929783
MTEXT,0,5 bar pressure dry air required,777907.3381147461,76499.38499471534,0.0,
MTEXT,0,Maintanance Track,732810.1093347878,72811.63308797355,0.0,
MTEXT,0,3573,762020.3602180715,80214.94798448766,0.0,
MTEXT,0,4034,761962.2148300646,82367.7416750879,0.0,
MTEXT,0,3573,747485.3410777921,76851.031558524,0.0,
MTEXT,0,4034,747490.7094307939,79228.16129722567,0.0,
TEXT,p7,PRIMEMATE TECHNOLOGIES PVT.LTD.,734783.9912535851,61839.22132963879,0.0,170.9938980480612
TEXT,p7,"GAT.NO.102,JYOTIBANAGAR,TALAWADE",734795.6799826393,61582.48691465551,0.0,113.9959320320408
TEXT,p7,"PCMC,PUNE - 62",734795.6799826393,61313.64463363939,0.0,113.9959320320408
TEXT,0,FL+0.0,764494.029062945,43264.95795179991,0.0,59.0707283272036
MTEXT,0,PITCH SHOULD BE MAINTAIN IN PARALAL TRACK,753416.0435261378,49613.76823843335,0.0,
TEXT,0,BUFFER,764409.6727869507,84098.48094534458,0.0,390.5237411929783
TEXT,0,AS08,731388.3580765489,89712.89727400761,0.0,390.5237411929783
TEXT,0,AS06,731365.8580765489,87235.39727400761,0.0,390.5237411929783
TEXT,0,AS04,731348.5581757608,84757.89727400761,0.0,390.5237411929783
TEXT,0,AS02,731400.6283655625,82545.75484087915,0.0,390.5237411929783
TEXT,0,AS19,765865.5917435517,80327.4893799159,0.0,390.5237411929783
TEXT,0,AS21,731484.1900026563,79546.24433146164,0.0,390.5237411929783
TEXT,0,AS22,739258.1646887881,80063.10845709982,0.0,390.5237411929783
TEXT,0,HANGER LOADING,733632.609142798,78792.15702988641,0.0,390.5237411929783
TEXT,0,HANGER UNLOADING,754211.7108951551,80136.27558400508,0.0,390.5237411929783
MTEXT,0,PNUEMATIC OPERATED SWITCH-RH,799568.6079371182,93006.16182503945,0.0,
MTEXT,0,SELF ACTUATING SWITCH-RH,799321.3877522374,84228.67313946487,0.0,
MTEXT,0,PNUEMATIC OPERATED SWITCH-LH,777606.9676377698,87212.193149901,0.0,
MTEXT,0,SELF ACTUATING SWITCH-RH,766455.1097488814,76282.89600438498,0.0,
MTEXT,0,PNUEMATIC OPERATED SWITCH-LH,746978.769032837,79589.10111000016,0.0,
MTEXT,0,PNUEMATIC OPERATED SWITCH-RH,739418.6470451811,77955.32346403087,0.0,
MTEXT,0,SELF ACTUATING SWITCH-RH,738077.4423389083,90279.49834131874,0.0,
MTEXT,0,PNUEMATIC OPERATED SWITCH-RH,749251.8536604205,92402.94783628709,0.0,
MTEXT,0,SELF ACTUATING SWITCH-LH,758193.7827709921,85558.3732220733,0.0,
MTEXT,0,PNUEMATIC OPERATED SWITCH-LH,768085.459047792,88117.150960861,0.0,
MTEXT,0,SELF ACTUATING SWITCH-RH,778814.1134795031,92273.67739473768,0.0,
MTEXT,0,GRAVITY TYPE TAKE-UP,755434.7440031084,92312.65879040046,0.0,
MTEXT,0,GRAVITY TYPE TAKE-UP,805338.5968990353,92194.2048029598,0.0,
MTEXT,0,CHAIN EXIT R1000x45%%D,808388.662666726,84744.93543771823,0.0,
MTEXT,0,CHAIN EXCHANGE R1000x45%%D,751592.407859722,80703.27917010826,0.0,
MTEXT,0,SENSOR,729391.2464512858,88714.96022378438,0.0,
MTEXT,0,4034,775943.209819438,88804.93008303654,0.0,
MTEXT,0,{\Fisocp|c0;ITEM NO.},734843.1295113649,70470.42663538206,0.0,
MTEXT,0,{\Fisocp|c0;DESCRIPTON},735538.2683310545,70470.42663538206,0.0,
MTEXT,0,{\Fisocp|c0;TYPE},736556.5356576693,70470.42663538206,0.0,
MTEXT,0,{\Fisocp|c0;QTY.},738724.7614737859,70470.42663538206,0.0,
MTEXT,0,{\Fisocp|c0;BEND RADIOUS},737892.6756653513,70468.7513394028,0.0,
MTEXT,0,{\Fisocp|c0;LENGTH},737453.3559275053,70470.42663538206,0.0,
MTEXT,0,{\Fisocp|c0;BEND ANGLE},738329.0902686182,70468.7513394028,0.0,
MTEXT,0,1,734843.1295113649,70202.1987309893,0.0,
MTEXT,0,2,734843.1295113667,70033.2894052965,0.0,
MTEXT,0,{\Fisocp|c0;BEND},736749.6043283108,70202.1987309907,0.0,
MTEXT,0,{\Fisocp|c0;10},738743.5321996761,70202.19873099023,0.0,
MTEXT,0,{\Fisocp|c0;BEND},736749.6043283108,70033.28940529743,0.0,
MTEXT,0,{\Fisocp|c0;10},738743.5321996761,70033.28940529696,0.0,
MTEXT,0,{\Fisocp|c0;POWER & FREE TRACK},735641.7589993248,70202.19873099023,0.0,
MTEXT,0,{\Fisocp|c0;POWER & FREE TRACK},735641.7589993257,70033.2894052965,0.0,
MTEXT,0,{\Fisocp|c0;R-1000},737888.7788797998,70202.19873098999,0.0,
MTEXT,0,{\Fisocp|c0;90%%D},738343.0205145086,70202.19873099023,0.0,
MTEXT,0,{\Fisocp|c0;R-1000},737888.7788797998,70033.28940529672,0.0,
MTEXT,0,{\Fisocp|c0;45%%D},738343.0205145086,70033.28940529696,0.0,
MTEXT,0,{\Fisocp|c0;-},737461.0199287792,70202.19873098977,0.0,
MTEXT,0,{\Fisocp|c0;-},737461.0199287792,70033.28940529696,0.0,
MTEXT,0,6,734843.1295113668,69356.91271088646,0.0,
MTEXT,0,32,734843.129511367,63929.22306570267,0.0,
MTEXT,0,{\Fisocp|c0;HORIZONTAL BEND},736782.502547121,69356.91271088786,0.0,
MTEXT,0,{\Fisocp|c0;-},737461.0199287793,69356.91271088786,0.0,
MTEXT,0,{\Fisocp|c0;01},738743.5321996763,69356.91271088786,0.0,
MTEXT,0,{\Fisocp|c0;POWER TRACK},735481.7127074938,69356.91271088926,0.0,
MTEXT,0,{\Fisocp|c0;R-1000},737888.7788797999,69356.91271088808,0.0,
MTEXT,0,{\Fisocp|c0;121%%D},738343.0205145087,69356.91271088833,0.0,
MTEXT,0,{\Fisocp|c0;-},736782.502547121,63929.22306570453,0.0,
MTEXT,0,{\Fisocp|c0;03},738722.4799042231,63929.22306570453,0.0,
MTEXT,0,{\Fisocp|c0;TENSION UNIT GRAVITY TYPE},735466.5386498576,63876.14222579864,0.0,
MTEXT,0,{\Fisocp|c0;180%%D},738359.9333499258,63929.22306570499,0.0,
MTEXT,0,{\Fisocp|c0;-},736782.5025471206,63271.08698992395,0.0,
MTEXT,0,{\Fisocp|c0;-},737443.9564893063,63271.08698992395,0.0,
MTEXT,0,{\Fisocp|c0;01},738722.4799042227,63271.08698992395,0.0,
MTEXT,0,{\Fisocp|c0;DRIVE UNIT},735364.5499271915,63271.08698992534,0.0,
MTEXT,0,{\Fisocp|c0;-},737921.2016960004,63271.08698992417,0.0,
MTEXT,0,{\Fisocp|c0;-},738359.9333499253,63271.08698992441,0.0,
MTEXT,0,{\Fisocp|c0;R-1000},737921.201696001,63929.22306570521,0.0,
MTEXT,0,34,734843.1295113665,63271.08698992255,0.0,
MTEXT,0,{\Fisocp|c0;-},736782.5025471211,66485.45417411062,0.0,
MTEXT,0,{\Fisocp|c0;-},737443.9564893069,66485.45417411062,0.0,
MTEXT,0,{\Fisocp|c0;01},738722.4799042232,66485.45417411062,0.0,
MTEXT,0,{\Fisocp|c0;45%%D},738359.9333499259,66485.45417411109,0.0,
MTEXT,0,23,734843.1295113671,66485.45417410923,0.0,
MTEXT,0,{\Fisocp|c0;R-1000},737921.2016960008,66485.4541741113,0.0,
MTEXT,0,{\Fisocp|c0;CHAIN EXCHANGE},735514.2881423219,66485.45417411198,0.0,
MTEXT,0,{\Fisocp|c0;BOM FOR LAYOUT},735491.7029270171,70975.01095993479,0.0,
MTEXT,0,5,734843.1295113668,69525.82203657915,0.0,
MTEXT,0,{\Fisocp|c0;HORIZONTAL BEND},736782.502547121,69525.82203658055,0.0,
MTEXT,0,{\Fisocp|c0;-},737461.0199287793,69525.82203658055,0.0,
MTEXT,0,{\Fisocp|c0;01},738743.5321996763,69525.82203658055,0.0,
MTEXT,0,{\Fisocp|c0;POWER TRACK},735481.7127074938,69525.82203658194,0.0,
MTEXT,0,{\Fisocp|c0;R-1000},737888.7788797999,69525.82203658076,0.0,
MTEXT,0,{\Fisocp|c0;28%%D},738343.0205145087,69525.82203658101,0.0,
MTEXT,0,4,734843.1295113668,69694.73136227184,0.0,
MTEXT,0,{\Fisocp|c0;HORIZONTAL BEND},736782.502547121,69694.73136227323,0.0,
MTEXT,0,{\Fisocp|c0;-},737461.0199287793,69694.73136227323,0.0,
MTEXT,0,{\Fisocp|c0;14},738743.5321996763,69694.73136227323,0.0,
MTEXT,0,{\Fisocp|c0;POWER TRACK},735481.7127074938,69694.73136227463,0.0,
MTEXT,0,{\Fisocp|c0;R-1000},737888.7788797999,69694.73136227345,0.0,
MTEXT,0,{\Fisocp|c0;90%%D},738343.0205145087,69694.7313622737,0.0,
MTEXT,0,3,734843.1295113668,69863.64068796452,0.0,
MTEXT,0,{\Fisocp|c0;HORIZONTAL BEND},736782.502547121,69863.64068796592,0.0,
MTEXT,0,{\Fisocp|c0;-},737461.0199287793,69863.64068796592,0.0,
MTEXT,0,{\Fisocp|c0;02},738743.5321996763,69863.64068796592,0.0,
MTEXT,0,{\Fisocp|c0;POWER TRACK},735481.7127074938,69863.64068796732,0.0,
MTEXT,0,{\Fisocp|c0;R-1000},737888.7788797999,69863.64068796614,0.0,
MTEXT,0,{\Fisocp|c0;35%%D},738343.0205145087,69863.64068796638,0.0,
MTEXT,0,9,734843.1295113668,68850.18473380822,0.0,
MTEXT,0,{\Fisocp|c0;HORIZONTAL BEND},736782.502547121,68850.18473380961,0.0,
MTEXT,0,{\Fisocp|c0;-},737461.0199287793,68850.18473380961,0.0,
MTEXT,0,{\Fisocp|c0;04},738743.5321996763,68850.18473380961,0.0,
MTEXT,0,{\Fisocp|c0;POWER TRACK},735481.7127074938,68850.18473381101,0.0,
MTEXT,0,{\Fisocp|c0;R-1000},737888.7788797999,68850.18473380983,0.0,
MTEXT,0,{\Fisocp|c0;180%%D},738343.0205145087,68850.18473381008,0.0,
MTEXT,0,8,734843.1295113668,69019.0940595009,0.0,
MTEXT,0,{\Fisocp|c0;HORIZONTAL BEND},736782.502547121,69019.0940595023,0.0,
MTEXT,0,{\Fisocp|c0;-},737461.0199287793,69019.0940595023,0.0,
MTEXT,0,{\Fisocp|c0;01},738743.5321996763,69019.0940595023,0.0,
MTEXT,0,{\Fisocp|c0;POWER TRACK},735481.7127074938,69019.0940595037,0.0,
MTEXT,0,{\Fisocp|c0;R-1000},737888.7788797999,69019.09405950252,0.0,
MTEXT,0,{\Fisocp|c0;127%%D},738343.0205145087,69019.09405950276,0.0,
MTEXT,0,7,734843.1295113668,69188.00338519359,0.0,
MTEXT,0,{\Fisocp|c0;HORIZONTAL BEND},736782.502547121,69188.00338519498,0.0,
MTEXT,0,{\Fisocp|c0;-},737461.0199287793,69188.00338519498,0.0,
MTEXT,0,{\Fisocp|c0;01},738743.5321996763,69188.00338519498,0.0,
MTEXT,0,{\Fisocp|c0;POWER TRACK},735481.7127074938,69188.00338519638,0.0,
MTEXT,0,{\Fisocp|c0;R-1000},737888.7788797999,69188.0033851952,0.0,
MTEXT,0,{\Fisocp|c0;53%%D},738343.0205145087,69188.00338519545,0.0,
MTEXT,0,11,734843.1295113668,68512.36608242331,0.0,
MTEXT,0,{\Fisocp|c0;HORIZONTAL BEND},736782.502547121,68512.3660824247,0.0,
MTEXT,0,{\Fisocp|c0;-},737461.0199287793,68512.3660824247,0.0,
MTEXT,0,{\Fisocp|c0;01},738743.5321996763,68512.3660824247,0.0,
MTEXT,0,{\Fisocp|c0;POWER TRACK},735481.7127074938,68512.3660824261,0.0,
MTEXT,0,{\Fisocp|c0;R-1000},737888.7788797999,68512.36608242492,0.0,
MTEXT,0,{\Fisocp|c0;50},738343.0205145087,68512.36608242517,0.0,
MTEXT,0,10,734843.1295113668,68681.275408116,0.0,
MTEXT,0,{\Fisocp|c0;HORIZONTAL BEND},736782.502547121,68681.27540811739,0.0,
